s,L,o_s,o_r,g,G
6049,1.470980000000000e-04,4.272400000000003e-05,4.180733333333335e-05,1.300337103673227e-04,1.218696520684701e-10
6081,1.470980000000000e-04,4.246566666666668e-05,4.186088888888892e-05,1.300337103673227e-04,1.218696520684701e-10
6113,1.470980000000000e-04,4.259122222222219e-05,4.169966666666665e-05,1.300337103673227e-04,1.218696520684701e-10
6145,1.470980000000000e-04,4.210266666666663e-05,4.137211111111112e-05,1.300337103673227e-04,1.218696520684701e-10
6177,1.470980000000000e-04,4.304666666666666e-05,4.181155555555556e-05,1.300337103673227e-04,1.218696520684701e-10
6209,1.470980000000000e-04,4.289922222222226e-05,4.194311111111110e-05,1.300337103673227e-04,1.218696520684701e-10
6241,1.470980000000000e-04,4.268800000000002e-05,4.201611111111112e-05,1.300337103673227e-04,1.218696520684701e-10
6273,1.470980000000000e-04,4.285599999999998e-05,4.180411111111110e-05,1.300337103673227e-04,1.218696520684701e-10
6305,1.470980000000000e-04,4.304133333333332e-05,4.213033333333332e-05,1.300337103673227e-04,1.218696520684701e-10
6337,1.470980000000000e-04,4.260277777777779e-05,4.223133333333331e-05,1.300337103673227e-04,1.218696520684701e-10
6369,1.470980000000000e-04,4.277022222222224e-05,4.184344444444442e-05,1.300337103673227e-04,1.218696520684701e-10
6401,1.470980000000000e-04,4.329144444444448e-05,4.171066666666666e-05,1.300337103673227e-04,1.218696520684701e-10
6433,1.470980000000000e-04,4.313433333333339e-05,4.192400000000004e-05,1.300337103673227e-04,1.218696520684701e-10
6465,1.470980000000000e-04,4.342122222222225e-05,4.160944444444443e-05,1.300337103673227e-04,1.218696520684701e-10
6497,1.470980000000000e-04,4.255277777777775e-05,4.173833333333331e-05,1.300337103673227e-04,1.218696520684701e-10
6529,1.470980000000000e-04,4.278666666666670e-05,4.176122222222229e-05,1.300337103673227e-04,1.218696520684701e-10
6561,1.470980000000000e-04,4.307322222222216e-05,4.201544444444441e-05,1.300337103673227e-04,1.218696520684701e-10
6593,1.470980000000000e-04,4.283944444444444e-05,4.213322222222230e-05,1.300337103673227e-04,1.218696520684701e-10
6625,1.470980000000000e-04,4.298855555555551e-05,4.153444444444440e-05,1.300337103673227e-04,1.218696520684701e-10
6657,1.470980000000000e-04,4.286900000000001e-05,4.150844444444445e-05,1.300337103673227e-04,1.218696520684701e-10
6689,1.470980000000000e-04,4.264511111111115e-05,4.147655555555553e-05,1.300337103673227e-04,1.218696520684701e-10
6721,1.470980000000000e-04,4.298377777777775e-05,4.181377777777776e-05,1.300337103673227e-04,1.218696520684701e-10
6753,1.470980000000000e-04,4.296200000000001e-05,4.164566666666666e-05,1.300337103673227e-04,1.218696520684701e-10
6785,1.470980000000000e-04,4.289488888888891e-05,4.177433333333335e-05,1.300337103673227e-04,1.218696520684701e-10
6817,1.470980000000000e-04,4.314522222222219e-05,4.159211111111110e-05,1.300337103673227e-04,1.218696520684701e-10
6849,1.470980000000000e-04,4.285455555555549e-05,4.191388888888885e-05,1.300337103673227e-04,1.218696520684701e-10
6881,1.470980000000000e-04,4.323822222222225e-05,4.182611111111114e-05,1.300337103673227e-04,1.218696520684701e-10
6913,1.470980000000000e-04,4.290211111111111e-05,4.181477777777779e-05,1.300337103673227e-04,1.218696520684701e-10
6945,1.470980000000000e-04,4.297499999999997e-05,4.204044444444450e-05,1.300337103673227e-04,1.218696520684701e-10
6977,1.470980000000000e-04,4.357133333333333e-05,4.162277777777780e-05,1.300337103673227e-04,1.218696520684701e-10
7009,1.470980000000000e-04,4.313511111111114e-05,4.215811111111112e-05,1.300337103673227e-04,1.218696520684701e-10
7041,1.470980000000000e-04,4.373000000000000e-05,4.170566666666670e-05,1.300337103673227e-04,1.218696520684701e-10
7073,1.470980000000000e-04,4.313122222222222e-05,4.175866666666665e-05,1.300337103673227e-04,1.218696520684701e-10
7105,1.470980000000000e-04,4.340288888888887e-05,4.159833333333339e-05,1.300337103673227e-04,1.218696520684701e-10
7137,1.470980000000000e-04,4.280066666666666e-05,4.201255555555556e-05,1.300337103673227e-04,1.218696520684701e-10
7169,1.470980000000000e-04,4.339744444444444e-05,4.171677777777775e-05,1.300337103673227e-04,1.218696520684701e-10
7201,1.470980000000000e-04,4.321455555555560e-05,4.200722222222221e-05,1.300337103673227e-04,1.218696520684701e-10
7233,1.470980000000000e-04,4.271555555555559e-05,4.156577777777776e-05,1.300337103673227e-04,1.218696520684701e-10
7265,1.470980000000000e-04,4.327200000000002e-05,4.238811111111112e-05,1.300337103673227e-04,1.218696520684701e-10
7297,1.470980000000000e-04,4.285633333333332e-05,4.171733333333331e-05,1.300337103673227e-04,1.218696520684701e-10
7329,1.470980000000000e-04,4.299300000000001e-05,4.182088888888889e-05,1.300337103673227e-04,1.218696520684701e-10
7361,1.470980000000000e-04,4.316888888888884e-05,4.164766666666668e-05,1.300337103673227e-04,1.218696520684701e-10
7393,1.470980000000000e-04,4.274777777777777e-05,4.201222222222217e-05,1.300337103673227e-04,1.218696520684701e-10
7425,1.470980000000000e-04,4.297144444444439e-05,4.176144444444447e-05,1.300337103673227e-04,1.218696520684701e-10
7457,1.470980000000000e-04,4.327222222222226e-05,4.187677777777779e-05,1.300337103673227e-04,1.218696520684701e-10
7489,1.470980000000000e-04,4.297833333333338e-05,4.191566666666670e-05,1.300337103673227e-04,1.218696520684701e-10
7521,1.470980000000000e-04,4.192977777777774e-05,4.228300000000001e-05,1.300337103673227e-04,1.218696520684701e-10
7553,1.470980000000000e-04,4.262244444444444e-05,4.159777777777777e-05,1.300337103673227e-04,1.218696520684701e-10
7585,1.470980000000000e-04,4.289677777777783e-05,4.179055555555563e-05,1.300337103673227e-04,1.218696520684701e-10
7617,1.470980000000000e-04,4.303100000000003e-05,4.211977777777779e-05,1.300337103673227e-04,1.218696520684701e-10
7649,1.470980000000000e-04,4.322922222222223e-05,4.191488888888890e-05,1.300337103673227e-04,1.218696520684701e-10
