s,L,o_s,o_r,g,G
802817,1.539810000000000e-05,4.863455555555529e-06,5.167554722222222e-02,1.404071482903282e-05,1.207667585433873e-11
806913,1.539810000000000e-05,4.641688888888898e-06,5.179076174444444e-02,1.404071482903282e-05,1.207667585433873e-11
811009,1.539810000000000e-05,4.661788888888908e-06,5.190691280000000e-02,1.404071482903282e-05,1.207667585433873e-11
815105,1.539810000000000e-05,5.018188888888876e-06,5.202185132222222e-02,1.404071482903282e-05,1.207667585433873e-11
819201,1.539810000000000e-05,4.681922222222231e-06,5.213759072222222e-02,1.404071482903282e-05,1.207667585433873e-11
823297,1.539810000000000e-05,5.295022222222227e-06,5.225329177777778e-02,1.404071482903282e-05,1.207667585433873e-11
827393,1.539810000000000e-05,4.662044444444453e-06,5.236820421111111e-02,1.404071482903282e-05,1.207667585433873e-11
831489,1.539810000000000e-05,4.654722222222199e-06,5.248356737777778e-02,1.404071482903282e-05,1.207667585433873e-11
835585,1.539810000000000e-05,4.595566666666667e-06,5.259852344444445e-02,1.404071482903282e-05,1.207667585433873e-11
839681,1.539810000000000e-05,4.673611111111111e-06,5.271398141111111e-02,1.404071482903282e-05,1.207667585433873e-11
843777,1.539810000000000e-05,4.707955555555561e-06,5.282979320000000e-02,1.404071482903282e-05,1.207667585433873e-11
847873,1.539810000000000e-05,4.730755555555543e-06,5.294500286666667e-02,1.404071482903282e-05,1.207667585433873e-11
851969,1.539810000000000e-05,4.527911111111124e-06,5.306032762222222e-02,1.404071482903282e-05,1.207667585433873e-11
856065,1.539810000000000e-05,4.693266666666658e-06,5.317586114444444e-02,1.404071482903282e-05,1.207667585433873e-11
860161,1.539810000000000e-05,4.768133333333339e-06,5.329173575555555e-02,1.404071482903282e-05,1.207667585433873e-11
864257,1.539810000000000e-05,4.546577777777777e-06,5.340777570000000e-02,1.404071482903282e-05,1.207667585433873e-11
868353,1.539810000000000e-05,4.615688888888882e-06,5.352265712222223e-02,1.404071482903282e-05,1.207667585433873e-11
872449,1.539810000000000e-05,4.994022222222231e-06,5.363763194444444e-02,1.404071482903282e-05,1.207667585433873e-11
876545,1.539810000000000e-05,4.492511111111100e-06,5.375245110000000e-02,1.404071482903282e-05,1.207667585433873e-11
880641,1.539810000000000e-05,5.318366666666680e-06,5.386795891111111e-02,1.404071482903282e-05,1.207667585433873e-11
884737,1.539810000000000e-05,4.617011111111109e-06,5.398333895555555e-02,1.404071482903282e-05,1.207667585433873e-11
888833,1.539810000000000e-05,5.012366666666659e-06,5.409750360000001e-02,1.404071482903282e-05,1.207667585433873e-11
892929,1.539810000000000e-05,4.721844444444448e-06,5.421341985555556e-02,1.404071482903282e-05,1.207667585433873e-11
897025,1.539810000000000e-05,4.680933333333324e-06,5.432762053333334e-02,1.404071482903282e-05,1.207667585433873e-11
901121,1.539810000000000e-05,4.812544444444451e-06,5.444273401111111e-02,1.404071482903282e-05,1.207667585433873e-11
905217,1.539810000000000e-05,4.682266666666674e-06,5.455699828888889e-02,1.404071482903282e-05,1.207667585433873e-11
909313,1.539810000000000e-05,5.216588888888891e-06,5.467185352222222e-02,1.404071482903282e-05,1.207667585433873e-11
913409,1.539810000000000e-05,4.792599999999992e-06,5.478707971111111e-02,1.404071482903282e-05,1.207667585433873e-11
917505,1.539810000000000e-05,4.580700000000009e-06,5.490237728888889e-02,1.404071482903282e-05,1.207667585433873e-11
921601,1.539810000000000e-05,5.063233333333329e-06,5.502271994444444e-02,1.404071482903282e-05,1.207667585433873e-11
925697,1.539810000000000e-05,4.519888888888888e-06,5.513743203333334e-02,1.404071482903282e-05,1.207667585433873e-11
929793,1.539810000000000e-05,4.699211111111126e-06,5.525313402222223e-02,1.404071482903282e-05,1.207667585433873e-11
933889,1.539810000000000e-05,4.686344444444472e-06,5.536846160000000e-02,1.404071482903282e-05,1.207667585433873e-11
937985,1.539810000000000e-05,4.747755555555567e-06,5.548334440000000e-02,1.404071482903282e-05,1.207667585433873e-11
942081,1.539810000000000e-05,5.086688888888898e-06,5.559910593333333e-02,1.404071482903282e-05,1.207667585433873e-11
946177,1.539810000000000e-05,4.660622222222218e-06,5.571399748888890e-02,1.404071482903282e-05,1.207667585433873e-11
950273,1.539810000000000e-05,4.997088888888878e-06,5.583017667777777e-02,1.404071482903282e-05,1.207667585433873e-11
954369,1.539810000000000e-05,4.709000000000012e-06,5.594588512222223e-02,1.404071482903282e-05,1.207667585433873e-11
958465,1.539810000000000e-05,4.859833333333317e-06,5.606131176666667e-02,1.404071482903282e-05,1.207667585433873e-11
962561,1.539810000000000e-05,4.737288888888891e-06,5.617654132222222e-02,1.404071482903282e-05,1.207667585433873e-11
966657,1.539810000000000e-05,5.134744444444453e-06,5.629187370000001e-02,1.404071482903282e-05,1.207667585433873e-11
970753,1.539810000000000e-05,4.664788888888901e-06,5.640768153333334e-02,1.404071482903282e-05,1.207667585433873e-11
974849,1.539810000000000e-05,4.652911111111100e-06,5.652346355555555e-02,1.404071482903282e-05,1.207667585433873e-11
978945,1.539810000000000e-05,5.319922222222234e-06,5.664421335555556e-02,1.404071482903282e-05,1.207667585433873e-11
